Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777791360,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777791361,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777791362,40,,Aggregated,0.000000,0.000000,810,820,1700,1700,1800,1800,1800,1800,1800,1800,1800,12,3,810,1110.0755916666003,755.0123000000895,1751.8199000005552,4556.5
1777791363,80,,Aggregated,0.000000,0.000000,1000,1600,1800,2300,2600,2600,2600,2600,2600,2600,2600,68,29,970,1332.1511250000156,195.8119999999326,2644.6759000000384,6780.676470588235
1777791364,100,,Aggregated,0.000000,0.000000,880,1000,1300,1600,2300,2600,2600,2600,2600,2600,2600,129,36,880,1083.5607038760259,195.8119999999326,2644.6759000000384,19564.286821705427
1777791365,120,,Aggregated,4.000000,1.000000,920,1300,1400,1600,2000,2600,2600,2600,2600,2600,2600,162,37,910,1155.8919086420292,195.8119999999326,2644.6759000000384,28448.802469135804
1777791366,140,,Aggregated,21.250000,8.500000,1100,1400,1600,1800,2300,2500,2600,2600,2600,2600,2600,208,49,1100,1243.3674716346427,195.8119999999326,2644.6759000000384,27604.278846153848
1777791367,160,,Aggregated,26.400000,7.200000,1100,1500,1800,1800,2200,2400,2600,2600,2600,2600,2600,281,64,1100,1284.4626081850786,195.8119999999326,2644.6759000000384,24163.544483985766
1777791368,180,,Aggregated,28.000000,6.500000,1200,1600,1800,1800,2200,2300,2600,2600,2600,2600,2600,327,75,1200,1318.6912437308974,195.8119999999326,2644.6759000000384,24967.74006116208
1777791369,200,,Aggregated,33.714286,7.428571,1400,1800,1900,2000,2200,2600,2800,2900,3000,3000,3000,388,89,1400,1435.1122126288794,195.8119999999326,3018.1729999994786,26870.296391752578
1777791370,220,,Aggregated,35.250000,8.125000,1500,1800,2000,2100,2300,2600,3000,3100,3200,3200,3200,424,104,1500,1485.3120233490588,195.8119999999326,3191.3212999997995,25862.400943396227
1777791371,240,,Aggregated,37.111111,8.444444,1500,1800,2000,2200,2600,2900,3200,3300,4000,4000,4000,458,124,1500,1538.4092842794746,195.8119999999326,3995.0746000004074,25166.131004366813
1777791372,260,,Aggregated,39.600000,9.000000,1600,2000,2200,2400,3000,3400,4300,4800,4900,4900,4900,533,147,1600,1717.893751219509,195.8119999999326,4876.809499999581,25288.951219512193
1777791373,280,,Aggregated,43.300000,11.100000,1800,2200,2600,2800,3700,4200,4600,4800,5400,5400,5400,613,170,1800,1910.3862417618298,195.8119999999326,5359.2690999994375,24799.27406199021
1777791374,300,,Aggregated,47.300000,13.300000,1800,2200,2700,3000,3900,4200,4600,4800,5400,5400,5400,644,181,1800,1959.2337627329232,195.8119999999326,5359.2690999994375,24688.41149068323
1777791375,320,,Aggregated,52.400000,14.700000,1900,2400,2900,3200,4000,4300,4700,4800,5400,5400,5400,690,198,1800,2054.248640289862,195.8119999999326,5359.2690999994375,23804.41304347826
1777791376,340,,Aggregated,53.000000,13.800000,2000,2600,3200,3600,4200,4700,4800,4900,5400,5400,5400,754,217,2000,2170.275864323615,167.10909999983414,5359.2690999994375,22957.042440318302
1777791377,360,,Aggregated,52.500000,14.600000,2100,2900,3600,3900,4400,4800,5200,5300,5500,5500,5500,829,238,2100,2315.8851036188253,167.10909999983414,5451.321100000314,23610.19662243667
1777791378,380,,Aggregated,53.200000,16.500000,2100,3100,3800,4000,4600,5100,5500,5700,5900,5900,5900,872,248,2100,2436.676973050465,167.10909999983414,5923.358600000029,23679.645642201835
1777791379,400,,Aggregated,51.900000,16.600000,2200,3400,3900,4200,4800,5400,5800,6000,6100,6100,6100,929,266,2200,2562.9932037675003,167.10909999983414,6145.721300000332,23462.131324004305
1777791380,420,,Aggregated,54.800000,17.300000,2500,3600,4200,4400,5200,5800,6100,6100,6300,6300,6300,1003,282,2500,2751.1969598205455,167.10909999983414,6325.418899999931,22653.67298105683
1777791382,440,,Aggregated,53.300000,17.600000,2800,3900,4400,4700,5700,5900,6100,6200,6300,6300,6300,1105,301,2800,2938.686861447969,167.10909999983414,6325.418899999931,23166.633484162896
1777791383,460,,Aggregated,57.000000,17.100000,3000,4100,4600,4900,5600,5900,6100,6200,6300,6300,6300,1204,316,3000,3066.954120764123,167.10909999983414,6325.418899999931,24678.318936877076
1777791384,480,,Aggregated,62.800000,16.600000,3100,4100,4700,5000,5600,5900,6100,6200,6300,6300,6300,1233,327,3100,3093.747404298464,167.10909999983414,6325.418899999931,24440.357664233576
1777791385,500,,Aggregated,65.800000,16.400000,3100,4200,4700,5000,5600,5900,6100,6200,6300,6300,6300,1249,337,3100,3107.4904955164175,167.10909999983414,6325.418899999931,24367.20576461169
1777791386,520,,Aggregated,65.800000,16.400000,3100,4200,4700,5000,5700,5900,6100,6200,6900,7000,7000,1262,344,3100,3116.4132030110973,167.10909999983414,6994.500899999366,24343.2234548336
1777791387,540,,Aggregated,59.000000,15.300000,3200,4300,4800,5100,5800,6100,6600,6900,7700,7800,7800,1302,346,3200,3226.4215313364093,167.10909999983414,7760.041500000625,24557.228878648235
1777791388,560,,Aggregated,56.200000,14.000000,3300,4300,4900,5200,5900,6300,7300,7700,8400,8500,8500,1334,361,3300,3294.601841079465,167.10909999983414,8451.538700000128,24504.775862068964
1777791389,580,,Aggregated,53.600000,12.800000,3400,4500,5000,5300,6000,6700,7900,8900,9200,10000,10000,1394,396,3400,3387.3855058823597,167.10909999983414,10009.233400000085,24456.84863701578
1777791390,600,,Aggregated,50.000000,12.000000,3500,4600,5200,5600,6300,8200,9200,10000,11000,11000,11000,1465,413,3500,3592.057319658713,167.10909999983414,10632.200400000329,24243.87781569966
1777791391,620,,Aggregated,49.900000,14.200000,3700,4800,5400,5700,7500,8600,9400,10000,11000,11000,11000,1536,429,3700,3769.8365678385544,167.10909999983414,10641.048200000114,24402.8515625
1777791392,640,,Aggregated,52.400000,14.500000,3700,4900,5500,5800,7800,8700,10000,11000,11000,11000,11000,1577,450,3700,3834.7274762840975,167.10909999983414,11314.453199999662,24527.71972098922
1777791393,660,,Aggregated,50.500000,14.300000,3900,5100,5700,5900,8400,10000,11000,12000,13000,13000,13000,1632,453,3900,4089.362618627467,167.10909999983414,13391.296100000545,25360.10355392157
1777791394,680,,Aggregated,45.900000,14.500000,4000,5200,5800,6100,8700,11000,12000,13000,14000,14000,14000,1677,460,4000,4273.1628920691865,167.10909999983414,13571.843400000034,25496.802623732856
1777791395,700,,Aggregated,42.500000,13.600000,4100,5400,6000,7200,11000,12000,13000,13000,14000,14000,14000,1770,472,4100,4603.82708468928,167.10909999983414,13676.057699999546,24696.7
1777791396,720,,Aggregated,41.200000,12.900000,4200,5500,6300,8000,11000,12000,13000,13000,14000,14000,14000,1832,485,4200,4771.356845687787,167.10909999983414,13676.057699999546,24152.63537117904
1777791397,740,,Aggregated,48.600000,13.200000,4300,5600,6600,8200,11000,12000,13000,13000,14000,14000,14000,1877,506,4300,4837.6200154502,167.10909999983414,13676.057699999546,23777.63612147043
1777791398,760,,Aggregated,53.300000,13.400000,4300,5700,6700,8200,11000,12000,13000,13000,14000,14000,14000,1896,517,4300,4873.930785812253,167.10909999983414,13676.057699999546,23611.337552742618
1777791399,780,,Aggregated,56.300000,15.000000,4400,5700,6900,8500,11000,12000,13000,13000,14000,14000,14000,1949,537,4400,4973.508904463846,167.10909999983414,13676.057699999546,23816.79527963058
1777791400,800,,Aggregated,55.500000,15.100000,4500,5800,7600,8700,11000,12000,13000,13000,14000,14000,14000,2000,547,4500,5122.174732550018,167.10909999983414,13676.057699999546,24190.3205
1777791401,820,,Aggregated,54.500000,13.900000,4600,5900,7800,8800,11000,13000,13000,14000,14000,14000,14000,2020,553,4600,5171.069809901006,167.10909999983414,14057.474000000184,24123.156435643563
