Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777792813,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777792814,5,,Aggregated,0.000000,0.000000,140,260,460,470,600,600,600,600,600,600,600,19,0,140,247.4357105263966,104.74990000057005,602.0717000001241,466.6842105263158
1777792815,15,,Aggregated,0.000000,0.000000,140,170,250,270,470,600,600,600,600,600,600,40,0,130,205.50835250003274,104.58569999991596,602.0717000001241,601.7
1777792816,20,,Aggregated,11.000000,0.000000,140,210,230,250,400,470,600,600,600,600,600,64,0,140,197.04839687504716,100.63190000073519,602.0717000001241,626.75
1777792817,25,,Aggregated,20.000000,0.000000,140,220,230,260,410,600,760,770,770,770,770,71,0,140,219.21555633804968,100.63190000073519,766.8401000000813,573.3802816901408
1777792818,30,,Aggregated,19.333333,0.000000,210,250,440,540,760,930,1200,1300,1400,1400,1400,103,0,210,327.6199320388629,100.63190000073519,1360.6387999998333,676.2135922330098
1777792819,35,,Aggregated,19.333333,0.000000,160,220,260,400,720,820,1200,1300,1400,1400,1400,140,0,160,277.3532592857334,98.46730000026582,1360.6387999998333,596.0928571428572
1777792820,40,,Aggregated,18.600000,0.000000,140,200,220,270,680,770,1200,1300,1400,1400,1400,167,0,140,254.37524790421216,93.79289999924367,1360.6387999998333,600.3712574850299
1777792821,45,,Aggregated,23.333333,0.000000,140,180,210,230,540,760,1100,1200,1400,1400,1400,207,0,140,231.797945410657,93.79289999924367,1360.6387999998333,610.3140096618357
1777792822,50,,Aggregated,23.428571,0.000000,130,170,210,220,460,720,1100,1200,1400,1400,1400,243,0,130,217.41012469138084,93.79289999924367,1360.6387999998333,670.7325102880659
1777792823,50,,Aggregated,25.250000,0.000000,140,170,200,220,400,710,930,1200,1400,1400,1400,282,0,130,209.5761567376088,93.79289999924367,1360.6387999998333,628.7163120567376
1777792824,50,,Aggregated,26.555556,0.000000,130,160,200,210,380,710,820,1200,1400,1400,1400,303,0,130,203.58159636965888,93.79289999924367,1360.6387999998333,661.2475247524752
1777792825,50,,Aggregated,27.600000,0.000000,130,160,190,210,290,680,820,1200,1400,1400,1400,331,0,130,197.51106706950995,93.79289999924367,1360.6387999998333,715.9093655589124
1777792826,50,,Aggregated,28.700000,0.000000,130,150,180,210,280,600,810,1200,1400,1400,1400,351,0,130,193.47973760686,93.79289999924367,1360.6387999998333,773.2678062678062
1777792827,50,,Aggregated,28.300000,0.000000,130,140,180,200,280,600,810,1200,1400,1400,1400,373,0,130,189.7521546917151,93.79289999924367,1360.6387999998333,790.2493297587131
1777792828,50,,Aggregated,28.400000,0.000000,130,140,170,200,270,590,810,1200,1400,1400,1400,395,0,130,186.10889392406804,93.79289999924367,1360.6387999998333,819.9848101265823
1777792829,50,,Aggregated,29.300000,0.000000,130,140,170,200,280,600,820,1200,1400,1400,1400,398,0,130,190.15245351760643,93.79289999924367,1360.6387999998333,815.8065326633166
1777792830,50,,Aggregated,30.100000,0.000000,130,160,210,240,720,1200,1300,1400,1400,1400,1400,437,0,130,263.88969382152357,93.79289999924367,1423.640400000295,833.4073226544623
1777792831,50,,Aggregated,25.700000,0.000000,130,160,210,240,720,1200,1300,1400,1400,1400,1400,449,0,130,260.9237518931056,93.79289999924367,1423.640400000295,844.2427616926503
1777792832,50,,Aggregated,24.600000,0.000000,130,160,200,230,680,1200,1300,1400,1400,1400,1400,472,0,130,254.09742627118888,93.79289999924367,1423.640400000295,877.6165254237288
1777792833,50,,Aggregated,24.400000,0.000000,130,160,200,220,610,1100,1300,1400,1400,1400,1400,508,0,130,246.6271950787379,93.79289999924367,1423.640400000295,880.3602362204724
1777792834,50,,Aggregated,23.200000,0.000000,130,160,190,220,600,1100,1300,1400,1400,1400,1400,523,0,130,243.70947323135627,93.79289999924367,1423.640400000295,907.2103250478011
1777792835,50,,Aggregated,21.300000,0.000000,130,160,190,220,550,1000,1300,1400,1400,1400,1400,547,0,130,239.67912102375809,93.79289999924367,1423.640400000295,889.9652650822669
1777792836,50,,Aggregated,21.900000,0.000000,130,160,190,210,540,1000,1300,1400,1400,1400,1400,568,0,130,235.75912183097657,93.79289999924367,1423.640400000295,907.875
1777792837,50,,Aggregated,21.300000,0.000000,130,160,190,210,480,940,1300,1400,1400,1400,1400,593,0,130,231.72572495783973,93.79289999924367,1423.640400000295,910.29173693086
1777792838,50,,Aggregated,22.000000,0.000000,130,160,180,200,460,930,1300,1400,1400,1400,1400,617,0,130,227.49542188006384,93.79289999924367,1423.640400000295,941.9319286871961
1777792839,50,,Aggregated,22.300000,0.000000,130,150,180,200,440,870,1300,1400,1400,1400,1400,642,0,130,223.46356588784755,93.79289999924367,1423.640400000295,942.9205607476636
1777792840,50,,Aggregated,21.300000,0.000000,130,150,180,200,410,870,1300,1400,1400,1400,1400,657,0,130,221.5848165905573,87.74730000004638,1423.640400000295,954.0015220700152
1777792841,50,,Aggregated,23.200000,0.000000,130,150,180,190,380,830,1300,1400,1400,1400,1400,682,0,130,218.33296554251677,87.74730000004638,1423.640400000295,962.9369501466275
1777792842,50,,Aggregated,23.900000,0.000000,130,160,180,190,350,820,1300,1400,1400,1400,1400,705,0,130,216.49442907800884,87.74730000004638,1423.640400000295,965.0567375886525
1777792843,50,,Aggregated,23.100000,0.000000,130,150,170,190,340,810,1300,1400,1400,1400,1400,732,0,130,213.4157571038232,87.74730000004638,1423.640400000295,979.0
1777792844,50,,Aggregated,22.500000,0.000000,130,150,170,190,300,810,1300,1400,1400,1400,1400,753,0,130,211.23461912350328,87.74730000004638,1423.640400000295,1013.1447543160691
1777792845,50,,Aggregated,23.000000,0.000000,130,150,170,190,290,770,1300,1400,1400,1400,1400,777,0,130,208.64138314027775,87.74730000004638,1423.640400000295,1012.5920205920206
1777792846,50,,Aggregated,22.900000,0.000000,130,150,170,190,280,770,1300,1300,1400,1400,1400,802,0,130,206.3927539900189,87.74730000004638,1423.640400000295,1003.8703241895262
1777792847,50,,Aggregated,23.400000,0.000000,130,150,170,180,280,760,1300,1300,1400,1400,1400,826,0,130,203.91259733655153,87.74730000004638,1423.640400000295,1003.6077481840193
1777792848,50,,Aggregated,23.000000,0.000000,130,150,170,180,270,750,1300,1300,1400,1400,1400,844,0,130,202.10945841231245,87.74730000004638,1423.640400000295,1015.4063981042653
